ID_maximum,ID_minimum,ID_abs_maximum,ID_abs_minimum,ID_mean,ID_abs_energy,ID_mean_abs_change,ID_cid_ce,Time_maximum,Time_minimum,Time_abs_maximum,Time_abs_minimum,Time_mean,Time_abs_energy,Time_mean_abs_change,Time_cid_ce,hr_maximum,hr_minimum,hr_abs_maximum,hr_abs_minimum,hr_mean,hr_abs_energy,hr_mean_abs_change,hr_cid_ce,temp_maximum,temp_minimum,temp_abs_maximum,temp_abs_minimum,temp_mean,temp_abs_energy,temp_mean_abs_change,temp_cid_ce,target,target_name
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.4,1798.0,0.01694915254237288,0.01694915254237288,90.87553571428558,65.07955357142846,90.87553571428558,65.07955357142846,80.27159226190462,6514.557638079274,0.45641041162227536,0.23134487066542633,30.914940684193013,30.815520832484584,30.914940684193013,30.815520832484584,30.846697566461497,951.5195336652433,0.0027013066163513264,1.160602013116569e-05,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.416666666666664,1799.4166666666667,0.01694915254237288,0.01694915254237288,90.87553571428558,65.52392857142846,90.87553571428558,65.52392857142846,80.6778333333332,6577.335521708099,0.45378177966101657,0.22941634666313496,30.91827417641304,30.815520832484584,30.91827417641304,30.815520832484584,30.84810422662099,951.6063979526435,0.0026606575512810493,1.1237525003865318e-05,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.43333333333333,1800.8333333333333,0.01694915254237288,0.01694915254237288,90.87553571428558,65.99044642857132,90.87553571428558,65.99044642857132,81.07158035714274,6638.2374285602455,0.45104872881355906,0.22730701706265075,30.91981741128973,30.815520832484584,30.91981741128973,30.815520832484584,30.84963213714608,951.7007433109222,0.0025643735627654627,1.0393381605353042e-05,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.45,1802.25,0.01694915254237288,0.01694915254237288,90.87553571428558,66.47473214285704,90.87553571428558,66.47473214285704,81.45214285714273,6697.154076082567,0.44834140435835307,0.22511722668410514,30.92135642347662,30.815520832484584,30.92135642347662,30.815520832484584,30.851306097710943,951.8040974448134,0.002500497197911211,9.956037388190704e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.46666666666667,1803.6666666666667,0.01694915254237288,0.01694915254237288,90.87553571428558,66.94991071428562,90.87553571428558,66.94991071428562,81.81900148809513,6754.002849842533,0.4460154358353504,0.22322592352883855,30.92288318489573,30.815520832484584,30.92288318489573,30.815520832484584,30.853093966261333,951.9144777570438,0.0025248450289569674,9.995407850628761e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.483333333333334,1805.0833333333333,0.01694915254237288,0.01694915254237288,90.87553571428558,67.42589285714274,90.87553571428558,67.42589285714274,82.17236309523797,6808.809771462828,0.44361985472154924,0.22128400558846353,30.923476897447564,30.817518073463354,30.923476897447564,30.817518073463354,30.854893234010717,952.0255627445385,0.0025010564115512455,9.933772648373231e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.5,1806.5,0.01694915254237288,0.01694915254237288,90.87553571428558,67.93071428571419,90.87553571428558,67.93071428571419,82.51256101190462,6861.630145371868,0.4403828692493941,0.21863401274969652,30.923476897447564,30.819322854546336,30.923476897447564,30.819322854546336,30.856613250356165,952.1317535215372,0.0024963248820727593,9.906354160134782e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.516666666666666,1807.9166666666667,0.01694915254237288,0.01694915254237288,90.87553571428558,68.50276785714274,90.87553571428558,68.50276785714274,82.83861309523795,6912.306644864986,0.43651634382566545,0.215092344506658,30.923476897447564,30.819322854546336,30.923476897447564,30.819322854546336,30.858252576343293,952.2329646386694,0.002514794636206372,9.952881696623407e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.53333333333333,1809.3333333333333,0.01694915254237288,0.01694915254237288,90.87553571428558,69.11794642857132,90.87553571428558,69.11794642857132,83.1479151785713,6960.422809214874,0.4334276634382562,0.2118550213756047,30.923476897447564,30.819322854546336,30.923476897447564,30.819322854546336,30.859878148355346,952.3333275747906,0.002492058485734262,9.917356350832577e-06,1.0,1
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,43.0,42.0,43.0,42.0,42.55,1810.75,0.01694915254237288,0.01694915254237288,90.87553571428558,69.76044642857131,90.87553571428558,69.76044642857131,83.43834077380939,7005.630872263344,0.43130750605326795,0.20939582810878482,30.923476897447564,30.819322854546336,30.923476897447564,30.819322854546336,30.86142934465861,952.4290961314534,0.0025016648641178587,9.969753102369094e-06,1.0,1
